Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What was the first music video played on MTV (Australia)?,The Buggles - Video Killed the Radio Star,Michael Jackson – Billie Jean,Madonna – Material Girl,Dire Straits – Money for nothing
What was the real name of the front man from Queen; Freddie Mercury?, Farrokh Bulsara, Frederick Mercury, Reginald Dwight, Alfred Mercury 
Who was the first woman to be inducted into the Rock and Roll hall of fame?, Aretha Franklin, Etta James, Diana Ross, Janis Joplin
Which of these was NOT an alter ego of David Bowie?, Alexander Nevermind, Major Tom, The Thin White Duke, Ziggy Stardust
Which UK City did the Beatles form in?, Liverpool, Manchester, London, Birmingham
Who was the only member of the Spice Girls who was actually a spice?,Ginger,Nutmeg,Cinnamon,Poppy
David McCormack the voice of popular Cartoon dog Bandit Heeler from the TV show Bluey is the frontman of which Australian Band?,Custard,Regurgitator,The Living End,Jebediah
Who featured on the cover of the first ever Rolling Stone Magazine in 1967?,John Lennon,Elton John,Bob Dylan,The Rolling Stones
Which ‘Roger’ was in British band; The Who?,Roger Daltrey,Roger Miller,Kenny Rogers,Roger Taylor
Rock Band AC/DC originates from which country?,Australia,England,New Zealand,South Africa
Crowded House formed in which Country?,Australia,England,New Zealand,South Africa
In what year was the first Woodstock held?,1969,1967,1968,1970
As voted by Triple J listeners what song came number 1 in the hottest 100 of all time in 2009?,Smells like teen spirit – Nirvana,Today -  The Smashing Pumpkins,Everlong – The Foo Fighters,Bohemian Rhaposdy – Queen
Which Beatle had dyslexia?,John Lennon,Paul McCartney,George Harrison,Ringo Starr
What does the Italian musical term adagio mean?,Slow,Fast,Stop,Quickly
In what Country was Alanis Morrisette born?,Canada,America,England,France
What is the first line in the lyrics for the Queen song Bohemian Rhapsody?,Is this the real life?,Mama just killed a man,Ooh. yeah. ooh. yeah, I see a little silhouetto of a man
